2025-04-22T09:12:01 | INFO     | trading_bot.cli | Command: place  args: {'command': 'place', 'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.001', 'price': None, 'stop_price': None, 'yes': True, 'log_level': 'INFO'}
2025-04-22T09:16:22 | INFO     | trading_bot.client | BinanceFuturesClient initialised — base_url=https://testnet.binancefuture.com
2025-04-22T09:16:22 | DEBUG    | trading_bot.client | → POST https://testnet.binancefuture.com/fapi/v1/order  params={'symbol': 'ETHUSDT', 'side': 'SELL', 'type': 'STOP_MARKET', 'quantity': '0.01', 'stopPrice': '2900', 'newOrderRespType': 'RESULT', 'timestamp': 1745314582314}
2025-04-22T09:16:22 | INFO     | trading_bot.orders | Placing order — symbol=ETHUSDT side=SELL type=STOP_MARKET qty=0.01 price=N/A
2025-04-22T09:16:23 | DEBUG    | trading_bot.client | ← HTTP 200  body={"orderId":3812004491,"symbol":"ETHUSDT","status":"NEW","clientOrderId":"web_stop001abc","price":"0","avgPrice":"0","origQty":"0.01","executedQty":"0","cumQuote":"0","timeInForce":"GTC","type":"STOP_MARKET","side":"SELL","stopPrice":"2900","workingType":"CONTRACT_PRICE","origType":"STOP_MARKET","positionSide":"BOTH","activatePrice":null,"priceRate":null,"updateTime":1745314583102,"closePosition":false,"priceProtect":false}
2025-04-22T09:16:23 | INFO     | trading_bot.client | Order placed — orderId=3812004491 status=NEW
2025-04-22T09:17:44 | WARNING  | trading_bot.cli | Input validation failed: Price must not be provided for MARKET orders.
2025-04-22T09:18:01 | INFO     | trading_bot.cli | Command: account  args: {'command': 'account', 'log_level': 'INFO'}
2025-04-22T09:18:01 | INFO     | trading_bot.client | BinanceFuturesClient initialised — base_url=https://testnet.binancefuture.com
2025-04-22T09:18:02 | DEBUG    | trading_bot.client | → GET https://testnet.binancefuture.com/fapi/v2/account  params={'timestamp': 1745314681924}
2025-04-22T09:18:02 | DEBUG    | trading_bot.client | ← HTTP 200  body={"feeTier":0,"canTrade":true,"canDeposit":true,"canWithdraw":true,"updateTime":0,"multiAssetsMargin":false,"totalInitialMargin":"0.06503200","totalMaintMargin":"0.03251600","totalWalletBalance":"9983.54219876","totalUnrealizedProfit":"0.00000000","totalMarginBalance":"9983.54219876","totalPositionInitialMargin":"0.06503200","totalOpenOrderInitialMargin":"0.00000000","totalCrossWalletBalance":"9983.54219876","totalCrossUnPnl":"0.00000000","availableBalance":"9983.47716676","maxWithdrawAmount":"9983.47716676","assets":[{"asset":"USDT","walletBalance":"9983.54219876","unrealizedProfit":"0.00000000","marginBalance":"9983.54219876","maintMargin":"0.03251600","initialMargin":"0.06503200","positionInitialMargin":"0.06503200","openOrderInitialMargin":"0.00000000","maxWithdrawAmount":"9983.47716676","crossWalletBalance":"9983.54219876","crossUnPnl":"0.00000000","availableBalance":"9983.47716676"}]}
2026-04-22T06:37:32 | INFO     | trading_bot.cli | Command: place  args: {'log_level': 'INFO', 'command': 'place', 'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.001', 'price': '50000', 'stop_price': None, 'yes': False, 'func': <function cmd_place at 0x7eb165514860>}
2026-04-22T06:37:32 | WARNING  | trading_bot.cli | Input validation failed: Price must not be provided for MARKET orders.
